20,0
320,0
40,20
60,20
80,20
320,20
60,40
160,40
180,40
200,40
300,40
320,40
60,60
80,60
120,60
140,60
160,60
200,60
220,60
240,60
280,60
300,60
80,80
100,80
120,80
240,80
260,80
280,80
0,100
80,100
280,100
360,100
20,120
80,120
100,120
260,120
280,120
340,120
40,140
60,140
80,140
120,140
240,140
280,140
300,140
320,140
60,160
80,160
140,160
220,160
280,160
300,160
80,180
120,180
140,180
160,180
200,180
220,180
240,180
280,180
80,200
100,200
160,200
200,200
260,200
280,200
380,200
0,220
60,220
80,220
120,220
140,220
220,220
240,220
280,220
300,220
360,220
20,240
80,240
280,240
340,240
40,260
60,260
80,260
100,260
120,260
140,260
220,260
240,260
260,260
280,260
300,260
320,260
100,280
160,280
200,280
260,280
60,300
100,300
120,300
160,300
180,300
200,300
240,300
260,300
300,300
40,320
120,320
160,320
200,320
240,320
320,320
20,340
100,340
120,340
160,340
200,340
240,340
260,340
340,340
80,360
100,360
140,360
180,360
220,360
260,360
280,360
80,380
280,380
80,0
300,380
