100,0
120,0
140,0
160,0
180,0
180,20
160,40
180,40
200,40
160,60
200,60
160,80
200,80
140,100
160,100
200,100
220,100
120,120
140,120
220,120
240,120
120,140
160,140
200,140
240,140
340,140
100,160
120,160
260,160
340,160
100,180
120,180
140,180
160,180
180,180
220,180
240,180
260,180
340,180
100,200
140,200
180,200
220,200
260,200
320,200
360,200
100,220
140,220
180,220
220,220
320,220
340,220
360,220
100,240
140,240
180,240
220,240
260,240
320,240
360,240
40,260
60,260
80,260
100,260
140,260
160,260
180,260
220,260
240,260
260,260
300,260
320,260
360,260
380,260
20,280
140,280
260,280
280,280
300,280
380,280
0,300
140,300
160,300
180,300
220,300
240,300
260,300
380,300
20,320
40,320
60,320
80,320
100,320
120,320
140,320
180,320
200,320
220,320
260,320
300,320
320,320
340,320
360,320
380,320
20,340
100,340
180,340
260,340
300,340
20,360
100,360
180,360
260,360
300,360
20,380
100,380
180,380
260,380
80,0
300,380
