300,0
80,20
300,20
320,20
340,20
80,40
300,40
340,40
0,60
80,60
280,60
300,60
320,60
340,60
0,80
80,80
280,80
340,80
0,100
80,100
280,100
300,100
340,100
0,120
80,120
280,120
340,120
360,120
0,140
20,140
40,140
80,140
280,140
360,140
0,160
40,160
80,160
260,160
280,160
360,160
0,180
20,180
40,180
80,180
260,180
340,180
360,180
0,200
40,200
80,200
260,200
340,200
0,220
40,220
60,220
80,220
240,220
260,220
340,220
0,240
40,240
80,240
240,240
320,240
340,240
360,240
0,260
40,260
60,260
80,260
220,260
240,260
320,260
360,260
0,280
200,280
220,280
320,280
340,280
360,280
0,300
20,300
40,300
60,300
180,300
200,300
340,300
60,320
80,320
100,320
180,320
340,320
0,340
100,340
120,340
160,340
180,340
340,340
20,360
40,360
120,360
160,360
180,360
340,360
60,380
120,380
140,380
160,380
320,380
340,380
80,0
300,380
